[2018-05-08 09:25:20] [INFO] 启动chrome浏览器
[2018-05-08 09:25:25] [INFO] 打开网址：http://127.0.0.1:8086/discuz/
[2018-05-08 09:25:25] [INFO] 找到相对元素：
[2018-05-08 09:25:25] [INFO] 清空元素内容
[2018-05-08 09:25:25] [INFO] 输入内容：admin
[2018-05-08 09:25:25] [INFO] 找到相对元素：
[2018-05-08 09:25:26] [INFO] 清空元素内容
[2018-05-08 09:25:26] [INFO] 输入内容：password
[2018-05-08 09:25:26] [INFO] 找到相对元素：
[2018-05-08 09:25:26] [INFO] 对元素做点击操作
[2018-05-08 09:25:29] [INFO] 找到相对元素：
[2018-05-08 09:25:31] [INFO] 对元素做点击操作
[2018-05-08 09:25:33] [INFO] 找到相对元素：
[2018-05-08 09:25:34] [INFO] 清空元素内容
[2018-05-08 09:25:34] [INFO] 输入内容：abc
[2018-05-08 09:25:34] [INFO] 找到相对元素：
[2018-05-08 09:25:35] [INFO] 清空元素内容
[2018-05-08 09:25:36] [INFO] 输入内容：abc
[2018-05-08 09:25:36] [INFO] 找到相对元素：
[2018-05-08 09:25:36] [INFO] 对元素做点击操作
[2018-05-08 09:25:40] [INFO] 成功退出浏览器
